,StationId,R,Lat,Lng,toV_u30,frV_u30,toV_3060,frV_3060,toV_6090,frV_6090,toV_o90,frV_o90
2489,2548,5.736011754572355,10.822805,106.706976,0.01770521959071051,0.0880662221200276,0.2878822717866176,0.4527477581053116,0.4755116118647965,0.2945504713727294,0.18119107840882961,0.12738560588641068
2490,2550,5.191156667180295,10.819696,106.702974,0.0604736721085307,0.06438261669349275,0.48562888020234535,0.4258450218441021,0.2860427684525178,0.3278914693032881,0.12922510922051048,0.14371119797654633
2491,2541,4.948265648723655,10.819027,106.700833,0.050126465854219364,0.1181880892159117,0.4702230397792596,0.4727523568636468,0.3253621522189009,0.26787767302828236,0.11611864796504943,0.13129455047137273
2492,2543,4.49000426402232,10.815528,106.697856,0.04828696252011957,0.12048746838353644,0.46194527477581054,0.4849390664520579,0.30259829845941594,0.2577604046907335,0.14991952172913314,0.1269257300528857
2493,2545,4.315410832525217,10.813352,106.697035,0.08898597378707748,0.13037479880432284,0.44814899977006206,0.4890779489537825,0.31501494596458957,0.24764313635318463,0.10991032421246263,0.12232697171763623
2494,2552,4.141862772814667,10.811903,106.695887,0.11956771671648656,0.14003219130834674,0.4364221660151759,0.48723844561968266,0.3002989192917912,0.24212462635088527,0.10554150379397563,0.11979765463324903
2495,1768,3.9836663319492063,10.809906,106.695035,0.11841802713267417,0.1393423775580593,0.5083927339618303,0.48677856978615774,0.23246723384686135,0.24396412968498504,0.10255231087606347,0.1191078408829616
2496,4269,3.8948602061515785,10.792622,106.695195,0.15129914922970797,0.17360312715566797,0.5100022993791676,0.5026442860427685,0.21798114509082547,0.20717406300298918,0.08346746378477811,0.106691193377788
2497,4270,3.63574050227004,10.792212,106.69269,0.1439411358933088,0.16325592090135663,0.5118418027132674,0.4916072660381697,0.22303977925959992,0.2239595309266498,0.08369740170154058,0.111060013796275
2498,7272,5.300154493120402,10.771254,106.699525,0.19797654633249023,0.20763393883651415,0.48999770062083237,0.45872614394113587,0.19061853299609105,0.21108300758795126,0.07978845711657852,0.10830075879512531
2499,7582,8.483686425788052,10.732929,106.699111,0.061623361692343066,0.10347206254311336,0.351115198896298,0.36031271556679695,0.4258450218441021,0.37479880432283286,0.12140722005058634,0.15129914922970797
2500,2728,3.3894321467046593,10.79162,106.690231,0.17360312715566797,0.1706139342377558,0.5044837893768682,0.4996550931248563,0.20395493216831456,0.21223269717176363,0.08024833295010347,0.10715106921131294
2501,2726,3.865813235967739,10.79239,106.694878,0.12991492297079787,0.155667969648195,0.5313865256380778,0.5035640377098184,0.21844102092435042,0.21775120717406302,0.08300758795125317,0.11312945504713727
2502,1650,3.991887936731441,10.809674,106.695185,0.1724534375718556,0.09197516670498965,0.5203495056334789,0.47045297769602207,0.18808921591170383,0.29363071970567944,0.0809381467003909,0.13313405380547252
2503,2746,4.162768081139605,10.811914,106.696086,0.1535985283973327,0.0995631179581513,0.5283973327201655,0.47942055644975856,0.1786617613244424,0.280294320533456,0.10117268337548861,0.12991492297079787
2504,2748,4.346225125226041,10.813452,106.697298,0.14876983214532077,0.061623361692343066,0.5148309956311796,0.4214762014256151,0.19429753966429064,0.33203035180501267,0.10416187629340078,0.146470452977696
2505,2747,4.528262602529377,10.816129,106.697969,0.13819268797424694,0.06530236836054265,0.5021844102092435,0.43320303518050124,0.21660151759025062,0.3216831455507013,0.10600137962750057,0.14233157047597148
