node,R,,toV_u30,frV_u30,toV_3060,frV_3060,toV_6090,frV_6090,toV_o90,frV_o90,toV_u60,frV_u60,toV_u90,frV_u90,,,,,
122,5180.956865,5.180956865,0.306047367,0.171763624,0.456656703,0.502644286,0.131754426,0.19866636,0.09933318,0.120717406,0.76270407,0.67440791,0.894458496,0.87307427,,42,4288,1.62324929,3.632254777
123,5211.201402,5.211201402,0.285123017,0.161876293,0.467923661,0.502644286,0.139572315,0.207174063,0.100712808,0.121637158,0.753046677,0.664520579,0.892618993,0.871694642,,43,4290,1.633468456,3.632457292
124,5249.565256,5.249565256,0.270866866,0.174752817,0.475281674,0.502644286,0.144401012,0.196826857,0.102782249,0.119107841,0.74614854,0.677397103,0.890549552,0.87422396,,44,4294,1.643452676,3.63286204
125,5343.756333,5.343756333,0.249022764,0.200965739,0.480340308,0.494826397,0.158657163,0.184640147,0.106231318,0.113819269,0.729363072,0.695792136,0.888020235,0.880432283,,45,4296,1.653212514,3.633064273
126,5419.550042,5.419550042,0.231317544,0.217291331,0.486548632,0.490917452,0.167164865,0.174752817,0.108760635,0.110830076,0.717866176,0.708208784,0.885031042,0.8829616,,46,4298,1.662757832,3.633266411
127,5400.293878,5.400293878,0.206024373,0.147160267,0.488848011,0.481719936,0.184870085,0.236606116,0.113819269,0.12807542,0.694872384,0.628880202,0.87974247,0.865486319,,47,4298,1.672097858,3.633266411
128,5377.469733,5.377469733,0.200275926,0.154748218,0.488158197,0.479880432,0.190158657,0.232697172,0.115198896,0.126465854,0.688434123,0.63462865,0.87859278,0.867325822,,48,4298,1.681241237,3.633266411
129,5339.859188,5.339859188,0.185329961,0.171533686,0.49114739,0.473902046,0.198896298,0.225569096,0.118647965,0.123016785,0.676477351,0.645435732,0.875373649,0.871004829,,49,4298,1.69019608,3.633266411
130,5312.413683,5.312413683,0.169234307,0.186019775,0.494136583,0.469763164,0.20970338,0.217291331,0.120717406,0.120717406,0.66337089,0.655782939,0.87307427,0.87307427,,50,4298,1.698970004,3.633266411
131,5294.112321,5.294112321,0.153828466,0.207633939,0.497125776,0.45918602,0.219360773,0.208783628,0.123246723,0.117958151,0.650954242,0.666819959,0.870315015,0.875603587,,51,4300,1.707570176,3.633468456
134,5284.213542,5.284213542,0.141641757,0.220280524,0.500114969,0.457346516,0.226718786,0.19981605,0.125086227,0.116118648,0.641756726,0.677627041,0.868475512,0.87744309,,52,4300,1.716003344,3.633468456
132,5268.464003,5.268464003,0.123246723,0.242584502,0.498045528,0.451828006,0.24396413,0.186019775,0.128305358,0.113129455,0.621292251,0.694412509,0.865256381,0.880432283,,53,4321,1.72427587,3.635584266
136,5219.070986,5.219070986,0.274085997,0.224649345,0.46355484,0.464014716,0.149689584,0.188319154,0.106691193,0.1170384,0.737640837,0.688664061,0.887330421,0.876983215,,54,4331,1.73239376,3.636588184
133,5212.743502,5.212743502,0.254541274,0.24396413,0.471602667,0.457806392,0.158427225,0.179351575,0.10922051,0.112669579,0.726143941,0.701770522,0.884571166,0.881122097,,55,4350,1.740362689,3.638489257
135,5224.598286,5.224598286,0.228558289,0.271096804,0.480800184,0.446769372,0.170383996,0.168084617,0.113589331,0.107381007,0.709358473,0.717866176,0.87974247,0.885950793,,,,,
137,5301.594318,5.301594318,0.322372959,0.299609106,0.426304898,0.436882042,0.144171074,0.154288342,0.100712808,0.102782249,0.748677857,0.736491147,0.892848931,0.89077949,,,,,
138,5351.388441,5.351388441,0.32007358,0.29914923,0.427684525,0.43596229,0.143941136,0.154748218,0.102092435,0.103931938,0.747758105,0.73511152,0.891699241,0.889859738,,,,,
139,5357.149856,5.357149856,0.29914923,0.318004139,0.438491607,0.428374339,0.151529087,0.146010577,0.104391814,0.101172683,0.737640837,0.746378478,0.889169924,0.892389055,,,,,
725,7937.638338,7.937638338,0.241894688,0.250402391,0.415497816,0.428144401,0.20418487,0.19314785,0.13244424,0.122326972,0.657392504,0.678546792,0.861577374,0.871694642,,,,,
729,5805.049301,5.805049301,0.123936537,0.288802023,0.448838814,0.43711198,0.258910094,0.162796045,0.162566107,0.105541504,0.572775351,0.725914003,0.831685445,0.888710048,,,,,
439,4870.276933,4.870276933,0.310876063,0.315474822,0.41388825,0.444699931,0.166015176,0.134283743,0.102552311,0.098873304,0.724764314,0.760174753,0.89077949,0.894458496,,,,,
442,4290.942975,4.290942975,0.306047367,0.257300529,0.435272476,0.485398942,0.148539894,0.146700391,0.103242125,0.103702,0.741319844,0.742699471,0.889859738,0.889399862,,,,,
1397,3659.876903,3.659876903,0.281673948,0.248562888,0.441250862,0.489077949,0.165325362,0.14233157,0.105541504,0.113819269,0.72292481,0.737640837,0.888250172,0.879972407,,,,,
1909,3760.206893,3.760206893,0.315934698,0.254081398,0.441710738,0.496435962,0.134743619,0.132904116,0.101172683,0.110140262,0.757645436,0.75051736,0.892389055,0.883421476,,,,,
731,3594.230821,3.594230821,0.322143021,0.192228098,0.428834215,0.528167395,0.146930329,0.157737411,0.095884111,0.115658772,0.750977236,0.720395493,0.897907565,0.878132904,,,,,
730,4648.201429,4.648201429,0.228788227,0.086686595,0.508392734,0.53092665,0.150379398,0.225799034,0.107151069,0.151299149,0.737180961,0.617613244,0.887560359,0.843412279,,,,,
477,8090.264765,8.090264765,0.152908715,0.033570936,0.535755346,0.154058404,0.177971948,0.492986894,0.127845482,0.313865256,0.688664061,0.18762934,0.866636008,0.680616234,,,,,
483,12034.48366,12.03448366,0.037020005,0.065532306,0.479190619,0.319613704,0.306047367,0.397102782,0.171993562,0.212002759,0.516210623,0.385146011,0.82225799,0.782248793,,,,,
7159,15073.32526,15.07332526,0.066452058,0.052195907,0.433892849,0.263738791,0.309956312,0.449528627,0.184640147,0.229478041,0.500344907,0.315934698,0.810301219,0.765463325,,,,,
538,17559.89198,17.55989198,0.046907335,0.051965969,0.239135433,0.270177052,0.472292481,0.443780179,0.236836054,0.229248103,0.286042768,0.322143021,0.758335249,0.765923201,,,,,
574,17084.4769,17.0844769,0.031731433,0.075189699,0.160266728,0.355024143,0.521269257,0.372269487,0.28144401,0.192228098,0.19199816,0.430213842,0.713267418,0.80248333,,,,,
1113,13469.10141,13.46910141,0.068981375,0.019314785,0.366521039,0.395953093,0.356173833,0.383306507,0.201425615,0.194527478,0.435502414,0.415267878,0.791676247,0.798574385,,,,,
410,12142.50391,12.14250391,0.07059094,0.043458266,0.320303518,0.464014716,0.396183031,0.313635318,0.206944125,0.172913313,0.390894458,0.507472982,0.787077489,0.821108301,,,,,
415,9601.765807,9.601765807,0.054725224,0.1103702,0.214072201,0.53644516,0.481030122,0.20970338,0.245113819,0.138422626,0.268797425,0.64681536,0.749827547,0.85651874,,,,,
420,6234.672884,6.234672884,0.091745229,0.212002759,0.520349506,0.517820189,0.225109221,0.154288342,0.157047597,0.110140262,0.612094734,0.729822948,0.837203955,0.88411129,,,,,
726,3928.067292,3.928067292,0.127385606,0.254081398,0.573695102,0.501724534,0.173373189,0.137272936,0.119797655,0.101172683,0.701080708,0.755805932,0.874453897,0.893078869,,,,,
727,3410.39185,3.41039185,0.249942516,0.256380777,0.486088756,0.467233847,0.144401012,0.170843872,0.113359393,0.09933318,0.736031272,0.723614624,0.880432283,0.894458496,,,,,
568,3322.79227,3.32279227,0.208323753,0.230397793,0.511151989,0.478730743,0.156817659,0.1722235,0.1170384,0.111979765,0.719475742,0.709128535,0.876293401,0.881352035,,,,,
95,3392.996262,3.392996262,0.298919292,0.257990343,0.466084157,0.469303288,0.123706599,0.1588871,0.10485169,0.107381007,0.765003449,0.727293631,0.888710048,0.886180731,,,,,
571,4325.631224,4.325631224,0.244883881,0.323522649,0.492067142,0.430673718,0.149689584,0.140951943,0.10600138,0.097493677,0.736951023,0.754196367,0.886640607,0.89514831,,,,,
434,4878.48435,4.87848435,0.355024143,0.289721775,0.410209244,0.438261669,0.132904116,0.16003679,0.095194298,0.105311566,0.765233387,0.727983444,0.898137503,0.888020235,,,,,
728,5780.98676,5.78098676,0.288342148,0.126465854,0.431363532,0.461715337,0.164865486,0.255231088,0.109680386,0.150839273,0.719705679,0.588181191,0.884571166,0.843412279,,,,,
115,7103.868143,7.103868143,0.208783628,0.208323753,0.441250862,0.446769372,0.213842263,0.207404001,0.129914923,0.13129455,0.650034491,0.655093125,0.863876753,0.862497126,,,,,
771,38203.46726,38.20346726,0.006208324,0.007817889,0.033340998,0.033340998,0.144401012,0.144401012,0.81122097,0.809611405,0.039549322,0.041158887,0.183950333,0.185559899,,,,,
5777,38125.58259,38.12558259,0.005748448,0.010117268,0.029432053,0.034490688,0.123016785,0.172453438,0.836514141,0.777650034,0.035180501,0.044607956,0.158197287,0.217061393,,,,,
772,37836.21993,37.83621993,0.005978386,0.010807082,0.028972178,0.035870315,0.116808462,0.18096114,0.843182341,0.767302828,0.034950563,0.046677397,0.151759025,0.227638538,,,,,
774,37408.51596,37.40851596,0.005978386,0.011266958,0.028282364,0.03747988,0.111060014,0.193607726,0.849620602,0.752586802,0.03426075,0.048746838,0.145320763,0.242354564,,,,,
773,36875.62621,36.87562621,0.005748448,0.01218671,0.027132674,0.038169694,0.103242125,0.210623132,0.858818119,0.73396183,0.032881122,0.050356404,0.136123247,0.260979536,,,,,
5778,36451.6491,36.4516491,0.005978386,0.012646585,0.025753047,0.039089446,0.097723615,0.224419407,0.865486319,0.718785928,0.031731433,0.051736031,0.129455047,0.276155438,,,,,
775,36087.25648,36.08725648,0.006208324,0.013106461,0.025293171,0.040009198,0.091515291,0.236376178,0.87192458,0.705449529,0.031501495,0.053115659,0.123016785,0.289491837,,,,,
777,35676.07459,35.67607459,0.006208324,0.013796275,0.024373419,0.040928949,0.083697402,0.255461026,0.880662221,0.684755116,0.030581743,0.054725224,0.114279145,0.31018625,,,,,
5779,35263.97754,35.26397754,0.006208324,0.014486089,0.022993792,0.042538515,0.080018395,0.273856059,0.885490917,0.663830766,0.029202115,0.057024603,0.10922051,0.330880662,,,,,
778,35012.90516,35.01290516,0.0066682,0.014945965,0.022303978,0.04414808,0.07725914,0.284893079,0.888710048,0.650954242,0.028972178,0.059094045,0.106231318,0.343987123,,,,,
780,34500.65629,34.50065629,0.006438262,0.015635778,0.021614164,0.047137273,0.070131065,0.311335939,0.896757875,0.620832375,0.028052426,0.062773051,0.09818349,0.374108991,,,,,
779,34353.58862,34.35358862,0.006438262,0.015865716,0.020464475,0.048286963,0.066681996,0.331800414,0.900896758,0.598528397,0.026902736,0.064152679,0.093584732,0.395953093,,,,,
786,34254.69604,34.25469604,0.006438262,0.016325592,0.019774661,0.049206714,0.06507243,0.343067372,0.903426075,0.58611175,0.026212923,0.065532306,0.091285353,0.408599678,,,,,
781,34190.07032,34.19007032,0.0066682,0.018854909,0.018624971,0.052885721,0.057254541,0.379397563,0.912393654,0.543803173,0.025293171,0.07174063,0.082547712,0.451138193,,,,,
740,34301.17261,34.30117261,0.0066682,0.019314785,0.018165095,0.054495286,0.054955162,0.392274086,0.915152909,0.528857209,0.024833295,0.073810071,0.079788457,0.466084157,,,,,
782,34202.25345,34.20225345,0.0066682,0.018624971,0.017245344,0.056794665,0.053115659,0.404920671,0.91722235,0.513911244,0.023913543,0.075419637,0.077029202,0.480340308,,,,,
790,34128.58494,34.12858494,0.011726834,0.019084847,0.017475282,0.057714417,0.060243734,0.412508623,0.904345827,0.504483789,0.029202115,0.076799264,0.08944585,0.489307887,,,,,
783,33759.56594,33.75956594,0.012416648,0.019544723,0.017475282,0.060013796,0.056794665,0.42055645,0.908024833,0.494596459,0.029891929,0.079558519,0.086686595,0.500114969,,,,,
784,32104.82528,32.10482528,0.011496896,0.022533916,0.016785468,0.069901127,0.047367211,0.460105771,0.919291791,0.442400552,0.028282364,0.092435043,0.075649575,0.552540814,,,,,
792,31540.21134,31.54021134,0.011496896,0.023453668,0.016095654,0.074269947,0.043918142,0.472752357,0.923200736,0.424235456,0.02759255,0.097723615,0.071510692,0.570475971,,,,,
794,31062.45319,31.06245319,0.01103702,0.024143481,0.016095654,0.077719016,0.041388825,0.482869625,0.926419867,0.410209244,0.027132674,0.101862497,0.068521499,0.584732122,,,,,
785,29778.17946,29.77817946,0.010577144,0.026212923,0.015175903,0.090595539,0.035410439,0.501724534,0.93377788,0.37640837,0.025753047,0.116808462,0.061163486,0.618532996,,,,,
796,28705.48718,28.70548718,0.00988733,0.028052426,0.013566337,0.103012187,0.033340998,0.516900437,0.937686825,0.346516441,0.023453668,0.131064613,0.056794665,0.647965049,,,,,
787,28333.43139,28.33343139,0.00988733,0.028512302,0.013566337,0.107381007,0.032651184,0.521729133,0.938606576,0.337088986,0.023453668,0.135893309,0.056104852,0.657622442,,,,,
788,27772.73573,27.77273573,0.013336399,0.029661991,0.019084847,0.112439641,0.040928949,0.52977696,0.92159117,0.323062773,0.032421246,0.142101633,0.073350195,0.671878593,,,,,
963,27413.14356,27.41314356,0.013106461,0.029661991,0.018624971,0.117958151,0.040009198,0.533915843,0.92274086,0.312945505,0.031731433,0.147620143,0.07174063,0.681535985,,,,,
732,27250.63236,27.25063236,0.031271557,0.031271557,0.127385606,0.110830076,0.51873994,0.52540814,0.317084387,0.326971718,0.158657163,0.142101633,0.677397103,0.667509772,,,,,
734,27458.44058,27.45844058,0.028972178,0.013106461,0.127845482,0.019774661,0.520579444,0.040699011,0.317314325,0.921131295,0.156817659,0.032881122,0.677397103,0.073580133,,,,,
733,27991.12626,27.99112626,0.029202115,0.013336399,0.119567717,0.02092435,0.513681306,0.040239135,0.332490228,0.920441481,0.148769832,0.03426075,0.662451138,0.074499885,,,,,
738,28302.69241,28.30269241,0.028052426,0.00988733,0.116118648,0.014945965,0.509082548,0.030121867,0.341687744,0.939986204,0.144171074,0.024833295,0.653253622,0.054955162,,,,,
735,28749.58198,28.74958198,0.02759255,0.009657393,0.110830076,0.015635778,0.501954472,0.030581743,0.354104392,0.938606576,0.138422626,0.025293171,0.640377098,0.055874914,,,,,
741,29773.35626,29.77335626,0.025523109,0.010577144,0.095194298,0.01655553,0.490457576,0.035410439,0.383766383,0.932398252,0.120717406,0.027132674,0.611174983,0.062543113,,,,,
736,31243.64207,31.24364207,0.022533916,0.011496896,0.079558519,0.017245344,0.464934468,0.041388825,0.427684525,0.924580363,0.102092435,0.02874224,0.567026903,0.070131065,,,,,
743,31551.48327,31.55148327,0.021844102,0.011496896,0.077489078,0.017935158,0.45918602,0.042538515,0.436422166,0.922970798,0.09933318,0.029432053,0.5585192,0.071970568,,,,,
737,32102.69498,32.10269498,0.021154288,0.011956772,0.07289032,0.018165095,0.446539434,0.045067832,0.454357324,0.919751667,0.094044608,0.030121867,0.540584042,0.075189699,,,,,
745,33742.89365,33.74289365,0.018854909,0.01218671,0.063462865,0.018854909,0.415497816,0.052425845,0.496895838,0.911243964,0.082317774,0.031041619,0.49781559,0.083467464,,,,,
739,34137.07699,34.13707699,0.01770522,0.011726834,0.060933548,0.018854909,0.40285123,0.054495286,0.512301679,0.908714647,0.078638768,0.030581743,0.481489998,0.085077029,,,,,
746,34202.062,34.202062,0.017475282,0.0066682,0.05955392,0.017935158,0.393653713,0.049436652,0.523108761,0.919751667,0.077029202,0.024603357,0.470682916,0.074040009,,,,,
789,34302.99078,34.30299078,0.017475282,0.0066682,0.058174293,0.019544723,0.376638308,0.053115659,0.542653484,0.915612785,0.075649575,0.026212923,0.452287882,0.079328581,,,,,
742,34210.13867,34.21013867,0.017245344,0.0066682,0.054725224,0.019774661,0.363761784,0.054725224,0.559209014,0.913773281,0.071970568,0.02644286,0.435732352,0.081168085,,,,,
748,34310.17464,34.31017464,0.014716027,0.005978386,0.048746838,0.021614164,0.326051966,0.062773051,0.604966659,0.904115889,0.063462865,0.02759255,0.389514831,0.090365601,,,,,
750,34389.67622,34.38967622,0.014486089,0.006438262,0.048286963,0.021844102,0.316394573,0.064152679,0.615543803,0.902276385,0.062773051,0.028282364,0.379167625,0.092435043,,,,,
744,34612.62725,34.61262725,0.014026213,0.006438262,0.046907335,0.022993792,0.296619913,0.068521499,0.637387905,0.896987813,0.060933548,0.029432053,0.357553461,0.097953553,,,,,
752,35042.6157,35.0426157,0.013796275,0.005978386,0.045067832,0.023683605,0.2825937,0.071510692,0.653253622,0.893538745,0.058864107,0.029661991,0.341457806,0.101172683,,,,,
5789,35320.24792,35.32024792,0.013106461,0.006208324,0.044378018,0.024373419,0.271096804,0.075649575,0.666360083,0.888710048,0.057484479,0.030581743,0.328581283,0.106231318,,,,,
754,35639.47867,35.63947867,0.012646585,0.005978386,0.043228328,0.024603357,0.256380777,0.079788457,0.682685675,0.884571166,0.055874914,0.030581743,0.312255691,0.1103702,,,,,
756,36043.37367,36.04337367,0.011956772,0.005978386,0.041388825,0.025753047,0.238675558,0.086226719,0.702920212,0.876983215,0.053345597,0.031731433,0.292021154,0.117958151,,,,,
747,36384.29498,36.38429498,0.011266958,0.005748448,0.040009198,0.027132674,0.227638538,0.090365601,0.716026673,0.871694642,0.051276155,0.032881122,0.278914693,0.123246723,,,,,
749,36844.1198,36.8441198,0.01103702,0.00551851,0.038399632,0.028052426,0.212002759,0.097723615,0.733501954,0.863646815,0.049436652,0.033570936,0.261439411,0.13129455,,,,,
758,37468.50989,37.46850989,0.010347206,0.005748448,0.036790067,0.029202115,0.193377788,0.10600138,0.754426305,0.853989423,0.047137273,0.034950563,0.240515061,0.140951943,,,,,
751,37940.82189,37.94082189,0.009197517,0.00551851,0.035640377,0.030121867,0.179811451,0.113589331,0.769832145,0.845251782,0.044837894,0.035640377,0.224649345,0.149229708,,,,,
760,38133.84489,38.13384489,0.008277765,0.005978386,0.035640377,0.030811681,0.175672568,0.117728213,0.775120717,0.840193148,0.043918142,0.036790067,0.219590711,0.15451828,,,,,
4761,14779.80108,14.77980108,0.031501495,0.028972178,0.350885261,0.353874454,0.352494826,0.362842033,0.259829846,0.249022764,0.382386756,0.382846631,0.734881582,0.745688664,,,,,
2238,14770.26931,14.77026931,0.035180501,0.030121867,0.344446999,0.356403771,0.355254081,0.360542653,0.259829846,0.247643136,0.379627501,0.386525638,0.734881582,0.747068292,,,,,
2239,14587.38962,14.58738962,0.029202115,0.037709818,0.32559209,0.376178432,0.362152219,0.346516441,0.277994941,0.234536675,0.354794206,0.41388825,0.716946424,0.760404691,,,,,
7142,13848.84559,13.84884559,0.034490688,0.035640377,0.348585882,0.363301908,0.352494826,0.35433433,0.259599908,0.241894688,0.383076569,0.398942286,0.735571396,0.753276615,,,,,
3723,14426.33768,14.42633768,0.028512302,0.035640377,0.322602897,0.395263279,0.363071971,0.339618303,0.280754196,0.224419407,0.351115199,0.430903656,0.714187169,0.770521959,,,,,
3725,14343.02303,14.34302303,0.024833295,0.041848701,0.307886871,0.406990113,0.371119798,0.330420786,0.290641527,0.21522189,0.332720166,0.448838814,0.703839963,0.7792596,,,,,
3727,14305.04527,14.30504527,0.023683605,0.044837894,0.299379168,0.412968499,0.372959301,0.325132214,0.298229478,0.211312946,0.323062773,0.457806392,0.696022074,0.782938607,,,,,
3728,14397.33449,14.39733449,0.02207404,0.047827087,0.287652334,0.421476201,0.37640837,0.317084387,0.307426995,0.207174063,0.309726374,0.469303288,0.686134744,0.786387675,,,,,
