node,totDeg,nLines,nServices,cbHops,cbDist,cbTime,toV_u30,toV_3060,toV_6090,toV_u60,toV_u90,toV_o90
7239,2,1,20,0.08165938515850259,0.02068335824179054,0.06093984230604828,0.009887330420786388,0.025293170843872153,0.06691193377787998,0.03518050126465854,0.10209243504253851,0.8928489307886871
7240,2,1,20,0.08065420334812255,0.019790458620609342,0.044646578701876105,0.009887330420786388,0.02391354334329731,0.062083237525868015,0.033800873764083694,0.09588411128995171,0.8990572545412738
7241,2,1,20,0.16253794560579618,0.017858270340424785,0.04787773837408189,0.008507702920211543,0.02069441250862267,0.0542653483559439,0.029202115428834215,0.08346746378477811,0.9114739020464474
7242,2,1,20,0.08165938515850259,0.02068335824179054,0.06093984230604828,0.00781788916992412,0.019544722924810302,0.050586341687744306,0.027362612094734423,0.07794895378247874,0.9172223499655093
7232,2,1,20,0.09409650426994537,0.018865974741262826,0.05752080254287045,0.005288572085536905,0.03724994251552081,0.19061853299609105,0.04253851460105772,0.23315704759714878,0.7617843182340768
7233,2,1,20,0.08062392086857277,0.01805153148196407,0.04177151355162069,0.0025293170843872156,0.03472062543113359,0.1607266038169694,0.03724994251552081,0.19797654633249023,0.7969648194987353
7234,2,1,20,0.09409650426994537,0.018865974741262826,0.05752080254287045,0.0013796275005748448,0.033800873764083694,0.14716026672798344,0.03518050126465854,0.18234076799264198,0.8126005978385836
7235,2,1,20,0.08162872527273772,0.018865974741262826,0.05701555466810621,0.0009197516670498966,0.03127155667969648,0.12784548171993562,0.032191308346746376,0.160036790066682,0.8349045757645436
7236,2,1,20,0.16247607847663373,0.016123261483417226,0.04468084845507495,0.0009197516670498966,0.028052425845021843,0.10554150379397563,0.02897217751207174,0.13451368130604738,0.8604276845251781
7243,2,1,20,0.08162872527273772,0.018865974741262826,0.05701555466810621,0.0011496895838123706,0.024603357093584733,0.08553690503564038,0.025753046677397102,0.11128995171303747,0.883651414118188
3551,4,2,87,0.25332821759761104,0.2145588157917814,0.11178529258981187,0.012416647505173604,0.039089445849620603,0.0728903196137043,0.051506093354794204,0.1243964129684985,0.870544952862727
7291,2,1,63,0.002639424393425407,0.012191671726436249,0.014118903488348553,0.1138192687974247,0.4727523568636468,0.2552310876063463,0.5865716256610715,0.8418027132674178,0.15152908714647045
7294,2,1,63,0.0023816245268334377,0.009751477629478929,0.009634401183936426,0.10255231087606347,0.4727523568636468,0.26189928719245803,0.5753046677397102,0.8372039549321683,0.15635778339848241
4338,2,1,63,0.01802898822757915,0.0381430079189604,0.042409349502966015,0.10462175212692573,0.4683835364451598,0.2692573005288572,0.5730052885720855,0.8422625891009428,0.15037939756265808
3163,2,1,63,0.015640148785469172,0.0381430079189604,0.04203683672916495,0.09542423545642677,0.4674637847781099,0.2761554380317314,0.5628880202345367,0.8390434582662681,0.15405840423085768
1825,2,1,63,0.015640148785469172,0.0381430079189604,0.04203683672916495,0.08829616003679007,0.4693032881122097,0.2807541963669809,0.5575994481489998,0.8383536445159807,0.15520809381467005
1824,2,1,63,0.01802898822757915,0.0381430079189604,0.042409349502966015,0.08116808461715337,0.46608415727753505,0.28742239595309266,0.5472522418946885,0.8346746378477811,0.15888710048286964
1828,2,1,63,0.01802898822757915,0.0381430079189604,0.042409349502966015,0.0738100712807542,0.4628650264428604,0.293400781788917,0.5366750977236147,0.8300758795125316,0.16325592090135663
7600,4,2,126,0.0051752503075961935,0.024631065755352243,0.01678763111833492,0.13842262589100943,0.5539204414808002,0.1786617613244424,0.6923430673718096,0.8710048286962521,0.12370659921821109
7599,4,2,126,0.03256654485600816,0.007507848536401423,0.0035258973831849803,0.12140722005058634,0.5539204414808002,0.1901586571625661,0.6753276615313866,0.8654863186939526,0.12968498505403542
2899,2,1,63,0.00878624513794433,0.022181538368238586,0.01763449254842805,0.1253161646355484,0.5566796964819499,0.18464014716026672,0.6819958611174983,0.866636008277765,0.12784548171993562
2900,2,1,63,0.01571165134805355,0.020243962327025272,0.017842013476636182,0.1057714417107381,0.5582892618992872,0.1991262359163026,0.6640607036100253,0.8631869395263279,0.1315244883881352
2905,2,1,63,0.008895746855493774,0.023182317965412303,0.024070001023465445,0.09220510462175213,0.5587491377328121,0.20878362842032652,0.6509542423545642,0.8597378707748908,0.1342837433892849
2890,2,1,63,0.029173257555192688,0.015799341020508832,0.014904946044986132,0.1287652333869855,0.5428834214762014,0.18601977466084157,0.6716486548631869,0.8576684295240286,0.13658312255690963
2893,2,1,63,0.04882876166442333,0.013195625865969798,0.010269119931599143,0.11335939296389974,0.5458726143941136,0.195447229248103,0.6592320073580133,0.8546792366061163,0.14026212922510922
2895,2,1,63,0.025307803353160917,0.015799341020508832,0.014774024848135787,0.09312485628880203,0.5472522418946885,0.20855369050356404,0.6403770981834904,0.8489307886870545,0.14555070131064612
