nodev,nPathsTime,nPathsDist,nPathsHops,cbHops,cbDist,cbTime
6849,113635,213639,35254,0.001864358628690033,0.011298000597796277,0.006009428512259372
4002,350959,377198,163525,0.008647791591210575,0.01994759023159423,0.018559977306587202
3293,254274,142765,104406,0.005521365716996981,0.00754992794079913,0.0134469259077418
1557,77731,77731,77731,0.0041106955399870925,0.0041106955399870925,0.0041106955399870925
440,1614428,579209,1354771,0.07164517512194431,0.030630660264506872,0.08537677347815262
1529,222217,202204,393153,0.020791348157524606,0.010693276568776293,0.01175163616587091
3721,91872,52338,84993,0.0044947362832090535,0.0027678221452424956,0.004858522605520245
2049,128575,170728,70558,0.0037313614376556234,0.00902871220170738,0.006799509578595932
1987,39614,40991,38244,0.0020224806091683673,0.0021677518735074923,0.0020949311487186407
3346,89458,198643,214243,0.01132994229552501,0.010504958049551092,0.0047308615818163315
192,38875,104149,44176,0.0023361861570605005,0.005507774630380616,0.002055850164245902
2710,71143,185805,15871,0.0008393157030674395,0.009826038321998966,0.003762298346879645
7186,37577,37597,37553,0.0019859380377601635,0.0019882649164026543,0.0019872072442924313
1110,68697,224177,121928,0.006447992252763327,0.01185528803267276,0.003632945047799376
3121,295371,301593,315411,0.016680070897876893,0.015949325236923842,0.015620283443433474
1455,184162,224231,160274,0.00847586698969383,0.011858143747370363,0.00973915055814415
6878,133685,133685,133685,0.007069744802757901,0.007069744802757901,0.007069744802757901
7248,87348,104898,135388,0.007159805582943387,0.005547384450908467,0.004619277174187808
1350,152521,486543,66298,0.00350607727817813,0.025730148076210775,0.008065860396165896
2946,64744,86551,61030,0.0032274864443453993,0.0045771289405954225,0.0034238961552138054
7045,46314,46620,45176,0.0023890697625716492,0.002465433688929748,0.0024492513056433365
508,1008105,587872,12788,0.0006762755472765683,0.031088790939049954,0.05331222713381646
3086,40140,40229,40440,0.0021386130068708495,0.0021274545661079973,0.002122747925217505
4764,646953,484732,51219,0.0027086453906755206,0.025634375866630085,0.03421320723625412
1219,415108,635767,230348,0.012181632762282058,0.03362165122500641,0.021952407716521873
12,58157,301128,34911,0.001846219551999709,0.015924734360361157,0.003075551845711869
266,539834,690648,206809,0.010936805572155131,0.03652395637906376,0.028548368297505396
1098,34593,34593,34593,0.0018294025654471636,0.0018294025654471636,0.0018294025654471636
1539,464239,703403,797532,0.04217636767051737,0.037198486767358464,0.024550632138890117
7531,17294,17294,17294,0.0009145690737098039,0.0009145690737098039,0.0009145690737098039
815,121910,105353,170478,0.009015491300329592,0.005571446491416039,0.006447040347864127
1138,56395,53587,50833,0.002688232318948217,0.00283387376852592,0.0029823709328012254
917,19588,336460,130330,0.0068923203062679975,0.01779321791028106,0.001035884064752379
1562,225070,281247,139735,0.00738969061610035,0.01487335539919401,0.011902513092394217
4760,69376,77712,73533,0.00388869016405129,0.004109690751482381,0.0036688530159414458
1934,552797,324528,176946,0.0093575424607757,0.017162210729322034,0.029233898475746416
1104,27034,22044,21659,0.0011454060117659676,0.00116576619988776,0.0014296553913883915
1319,176546,137251,358547,0.018961258105205797,0.007258327740010657,0.009336389018571242
213,669534,722569,171744,0.009082441944906705,0.038212053950585134,0.03540737193230137
560,28985,92158,42629,0.002254375219334754,0.004873647316696433,0.0015328313057406423
2466,78373,83061,78554,0.004154218747322767,0.004392565157361515,0.004144646814725249
3450,462490,361511,320494,0.016948878264690062,0.019118005111940842,0.02445813871285112
3753,96771,79305,160996,0.008514048952872881,0.00419393433506164,0.005117599388919362
2488,163483,169500,188568,0.00997215572402627,0.008963771134139688,0.008645570479779107
2486,163483,169500,188568,0.00997215572402627,0.008963771134139688,0.008645570479779107
2708,91695,32768,871353,0.04608028831295587,0.0017328899853893175,0.004849162207344771
2496,52389,68408,39060,0.0020656336312654647,0.0036176616858066535,0.0027705192091235643
832,461429,467211,1012313,0.053534761345807376,0.024707802214469252,0.02440202920740379
1770,123234,252205,5381,0.00028456668125549064,0.013337509727939234,0.006517058241560887
1039,29214,26254,25943,0.0013719593777757283,0.0013884061790896956,0.0015449416514026954
2321,91644,107781,69921,0.0036976745809450214,0.005699847885597108,0.004846465143463703
3347,89458,198643,214243,0.01132994229552501,0.010504958049551092,0.0047308615818163315
3252,332990,372247,150774,0.00797347273733792,0.019685763500708536,0.017609711799157372
3038,297918,302765,315411,0.016680070897876893,0.01601130482258291,0.01575497798667037
3324,88020,200284,206818,0.010937281524604731,0.010591740046194887,0.0046548149570913005
2783,103983,112312,108133,0.005718462914737032,0.005939463502168122,0.0054989959518657655
743,321824,321824,321977,0.017027304651663095,0.01701921346001989,0.01701921346001989
3581,21026,19011,13852,0.0007325437035404304,0.0010053702243724462,0.0011119306894774106
4756,263698,192167,82095,0.004341479594437744,0.010162483820260894,0.013945301006078865
22,103443,106122,93819,0.004961486985450451,0.005612113984054112,0.005470438804889745
558,502729,407020,104400,0.005521048415363914,0.021524685115147706,0.026586122115014228
2613,134964,173505,73893,0.003907728262035304,0.00917556997421184,0.00713738293420666
1413,180478,474112,92272,0.004879676047724704,0.025072751976101686,0.009544327355441078
19,46651,52980,33079,0.0017493367867032848,0.002801773419980653,0.0024670730807005935
2419,66999,190760,67251,0.003556475354230255,0.010088076587306708,0.0035431486856414454
4040,114392,114164,103566,0.005476943488367616,0.006037403939574769,0.0060494614016313114
6921,275108,51853,30265,0.0016005223207949126,0.0027421735965695885,0.01454870294496107
1448,104303,155528,99031,0.005237116337374557,0.00822488139793792,0.005515918705629333
346,267403,187162,164173,0.0086820601675818,0.009897801374677596,0.01414123476449767
2444,206814,242412,195863,0.0103579416262301,0.012819620579168555,0.010937069990182688
2427,81331,105153,57872,0.003060480018141192,0.005560869770313809,0.004301076519827227
7316,50130,45625,46669,0.002468024985599794,0.002412814501446155,0.0026510551442738796
4556,65807,203830,30255,0.001599993484739801,0.01077926531133742,0.0034801114278721563
2309,330652,126770,673757,0.03563069939837495,0.006704054670648309,0.017486069929472308
7199,12976,12976,12976,0.0006862176651126643,0.0006862176651126643,0.0006862176651126643
3598,235653,235653,235883,0.012474343518786266,0.012462180289518702,0.012462180289518702
2977,482342,499638,329244,0.01741160981291261,0.026422658890379265,0.02550798404945844
2874,43688,45444,48612,0.002570777831107956,0.0024032425688486373,0.0023103789575710603
3622,253767,255847,260355,0.013768511112855096,0.013530111819210837,0.013420113919747649
